dims	No.proc	Avg. Rt / Dev.	Eff.	Speedup
25   	1         	0.00254 / 0.00761	0.00064	0.00064
125  	1         	0.00165 / 0.00419	0.12331	0.12331
1000 	1         	0.12024 / 0.01689	0.86632	0.86632
25   	8         	0.00162 / 0.00485	0.00013	0.00100
125  	8         	0.00040 / 0.00106	0.06290	0.50320
1000 	8         	0.01637 / 0.00230	0.79534	6.36272
10000	8         	14.50023 / 0.03575	0.89797	7.18380
25   	27        	0.00201 / 0.00482	0.00003	0.00081
125  	27        	0.00045 / 0.00125	0.01693	0.45711
1000 	27        	0.01160 / 0.00206	0.33264	8.98137
10000	27        	8.19895 / 0.41360	0.47055	12.70488
25   	125       	0.02240 / 0.02643	0.00000	0.00007
125  	125       	0.01983 / 0.01010	0.00008	0.01026
1000 	125       	0.00859 / 0.01182	0.09706	12.13256
10000	125       	3.07223 / 0.07635	0.27125	33.90590
25   	343       	0.01029 / 0.01597	0.00000	0.00016
125  	343       	0.01667 / 0.01828	0.00004	0.01221
1000 	343       	0.02797 / 0.03978	0.01086	3.72437
10000	343       	0.76300 / 0.03306	0.39803	136.52320
25   	1000      	0.01996 / 0.01589	0.00000	0.00008
125  	1000      	0.01569 / 0.01631	0.00001	0.01297
1000 	1000      	0.02698 / 0.01761	0.00386	3.86101
10000	1000      	0.30849 / 0.05644	0.33767	337.66980
