dims	No.proc	Avg. Rt / Dev.	Eff.	Speedup
25   	1         	0.01503 / 0.04508	0.00011	0.00011
125  	1         	0.00377 / 0.01052	0.05391	0.05391
1000 	1         	0.12235 / 0.01985	0.85140	0.85140
25   	8         	0.00157 / 0.00466	0.00013	0.00104
125  	8         	0.00052 / 0.00126	0.04922	0.39379
1000 	8         	0.02684 / 0.00281	0.48521	3.88167
10000	8         	15.70039 / 0.15340	0.82933	6.63466
25   	27        	0.00242 / 0.00481	0.00002	0.00067
125  	27        	0.01761 / 0.00511	0.00043	0.01155
1000 	27        	0.02304 / 0.00921	0.16748	4.52188
10000	27        	8.76445 / 0.07202	0.44019	11.88514
25   	125       	0.00567 / 0.01228	0.00000	0.00029
125  	125       	0.01496 / 0.01596	0.00011	0.01360
1000 	125       	0.01765 / 0.02249	0.04721	5.90070
10000	125       	3.03794 / 0.10384	0.27431	34.28860
25   	343       	0.01634 / 0.02952	0.00000	0.00010
125  	343       	0.02518 / 0.03442	0.00002	0.00808
1000 	343       	0.02179 / 0.03135	0.01394	4.78018
10000	343       	1.11712 / 0.03188	0.27185	93.24601
25   	1000      	0.02911 / 0.04479	0.00000	0.00006
125  	1000      	0.03275 / 0.02856	0.00001	0.00621
1000 	1000      	0.04124 / 0.07303	0.00253	2.52613
10000	1000      	0.60854 / 0.01820	0.17118	171.17545
