dims	No.proc	Avg. Rt / Dev.	Eff.	Speedup
25   	1         	0.00341 / 0.01021	0.00048	0.00048
125  	1         	0.00956 / 0.02788	0.02128	0.02128
1000 	1         	0.12400 / 0.02599	0.84007	0.84007
25   	27        	0.00403 / 0.01201	0.00001	0.00040
125  	27        	0.00528 / 0.01559	0.00143	0.03853
1000 	27        	0.02071 / 0.00265	0.18633	5.03088
10000	27        	8.96666 / 0.30973	0.43026	11.61711
25   	125       	0.01141 / 0.02718	0.00000	0.00014
125  	125       	0.00882 / 0.01618	0.00018	0.02306
1000 	125       	0.01801 / 0.02134	0.04628	5.78455
10000	125       	3.13677 / 0.09011	0.26567	33.20822
25   	343       	0.01556 / 0.03870	0.00000	0.00010
125  	343       	0.02324 / 0.01887	0.00003	0.00876
1000 	343       	0.02968 / 0.06625	0.01023	3.50961
10000	343       	1.10462 / 0.03686	0.27493	94.30106
25   	1000      	0.02819 / 0.04117	0.00000	0.00006
125  	1000      	0.03687 / 0.03731	0.00001	0.00552
1000 	1000      	0.03575 / 0.03931	0.00291	2.91385
10000	1000      	0.59257 / 0.01483	0.17579	175.78829
